[11-Jul-2019 14:25:26 Europe/Berlin] PHP Warning:  ftp_connect(): php_network_getaddresses: gethostbyname failed in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 153
[12-Jul-2019 14:15:25 Europe/Berlin] PHP Warning:  ftp_connect(): php_network_getaddresses: gethostbyname failed in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 153
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 118 of 355 bytes in /volume2/web/FS19_Webstats/include/loadConfig.php on line 46
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 118 of 355 bytes in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 59
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: farms in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Notice:  Undefined index: farms in /volume2/web/FS19_Webstats/include/savegame/Farm.class.php on line 37
[15-Jul-2019 11:45:40 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Farm.class.php on line 37
[15-Jul-2019 11:45:50 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 118 of 355 bytes in /volume2/web/FS19_Webstats/include/loadConfig.php on line 46
[15-Jul-2019 11:45:50 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 118 of 355 bytes in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 59
[15-Jul-2019 11:45:50 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
[15-Jul-2019 11:45:50 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
